Word,version,correct,cee,Consistency,Frequency
soon,3,100,0.00114467,RC,H
spook,3,100,0.001280157,EX,L
stop,3,100,0.001185603,RC,H
stunt,3,100,0.001429684,RC,L
swamp,3,100,0.001598,EX,L
swarm,3,100,0.001673776,EX,L
swore,3,100,0.001329684,RC,L
tell,3,100,0.001054127,RC,H
touch,3,100,0.001699328,EX,L
trunk,3,100,0.001568529,RC,L
wad,3,100,0.001189825,EX,L
wake,3,100,0.00116682,RC,L
wand,3,100,0.001412009,EX,L
want,3,100,0.002849985,EX,H
wash,3,100,0.001314429,EX,L
watch,3,100,0.001217291,EX,H
wax,3,100,0.001546157,RC,L
week,3,100,0.001147456,RC,H
weld,3,100,0.001221551,RC,L
were,3,100,0.001310362,EX,H
what,3,100,0.001279402,EX,H
when,3,100,0.003494587,RC,H
which,3,100,0.001195805,RC,H
will,3,100,0.001051001,RC,H
wing,3,100,0.001308308,RC,L
wit,3,100,0.001042071,RC,L
with,3,100,0.001656474,RC,H
wool,3,100,0.001358876,EX,L
word,3,100,0.001810082,EX,H
work,3,100,0.001257757,EX,H
worm,3,100,0.00148952,EX,L
write,3,100,0.001050026,RC,H
are,4,100,0.000937434,EX,H
beam,4,100,0.00104106,RC,L
best,4,100,0.001212542,RC,H
big,4,100,0.001025357,RC,H
both,4,100,0.001471021,EX,H
bowl,4,100,0.001172739,EX,L
break,4,100,0.001474584,EX,H
broad,4,100,0.004000129,EX,L
broke,4,100,0.001214679,RC,L
bus,4,100,0.001095541,RC,L
bush,4,100,0.001284682,EX,L
came,4,100,0.000991874,RC,H
choose,4,100,0.01017454,EX,H
class,4,100,0.001219156,RC,H
come,4,100,0.00123509,EX,H
dark,4,100,0.001380575,RC,H
deaf,4,100,0.002388416,EX,L
deed,4,100,0.006822276,RC,L
did,4,100,0.001076045,RC,H
do,4,100,0.001464139,EX,H
does,4,100,0.001563063,EX,H
doll,4,100,0.001309844,EX,L
done,4,100,0.001509338,EX,H
dots,4,100,0.001658316,RC,L
fact,4,100,0.001192274,RC,H
fade,4,100,0.001123429,RC,L
float,4,100,0.001280553,RC,L
flood,4,100,0.001359951,EX,L
foot,4,100,0.00126242,EX,H
give,4,100,0.00197764,EX,H
got,4,100,0.001644238,RC,H
grape,4,100,0.001225626,RC,L
great,4,100,0.001497771,EX,H
gross,4,100,0.002029516,EX,L
group,4,100,0.001500098,RC,H
have,4,100,0.001298269,EX,H
him,4,100,0.001024957,RC,H
lose,4,100,0.001561594,EX,L
lunch,4,100,0.001281634,RC,L
main,4,100,0.001006586,RC,H
move,4,100,0.001487125,EX,H
out,4,100,0.000836022,RC,H
page,4,100,0.001122252,RC,H
pear,4,100,0.001351545,EX,L
peel,4,100,0.001059212,RC,L
phase,4,100,0.001257339,EX,L
pint,4,100,0.001256486,EX,L
pitch,4,100,0.000998245,RC,L
place,4,100,0.00127527,RC,H
plow,4,100,0.001116631,EX,L
pull,4,100,0.001111883,EX,H
pump,4,100,0.001200255,RC,L
put,4,100,0.001093045,EX,H
ripe,4,100,0.001065092,RC,L
rouse,4,100,0.002912173,EX,L
said,4,100,0.002291844,EX,H
sank,4,100,0.001783399,RC,L
says,4,100,0.00135164,EX,H
see,4,100,0.001289578,RC,H
sew,4,100,0.001483034,EX,L
shall,4,100,0.00126088,EX,H
shoe,4,100,0.001027688,EX,L
slam,4,100,0.001214599,RC,L
slip,4,100,0.001222901,RC,L
soon,4,100,0.001385695,RC,H
spook,4,100,0.001294972,EX,L
stop,4,100,0.001378751,RC,H
stunt,4,100,0.001423658,RC,L
swamp,4,100,0.001395773,EX,L
swarm,4,100,0.001982839,EX,L
swore,4,100,0.001367276,RC,L
tell,4,100,0.001139424,RC,H
touch,4,100,0.001526354,EX,L
trunk,4,100,0.001420893,RC,L
wad,4,100,0.001110242,EX,L
wake,4,100,0.001075742,RC,L
wand,4,100,0.001456308,EX,L
want,4,100,0.001356427,EX,H
wash,4,100,0.001341969,EX,L
watch,4,100,0.001443672,EX,H
wax,4,100,0.001889968,RC,L
week,4,100,0.001000875,RC,H
weld,4,100,0.001349174,RC,L
were,4,100,0.001196844,EX,H
what,4,100,0.00113582,EX,H
when,4,100,0.0012033,RC,H
which,4,100,0.002903866,RC,H
will,4,100,0.001056805,RC,H
wing,4,100,0.001210282,RC,L
wit,4,100,0.001073475,RC,L
with,4,100,0.001152164,RC,H
wool,4,100,0.001880359,EX,L
word,4,100,0.001292093,EX,H
work,4,100,0.001202062,EX,H
worm,4,100,0.001238058,EX,L
write,4,100,0.000968847,RC,H
are,5,100,0.001096021,EX,H
beam,5,100,0.001165701,RC,L
best,5,100,0.001314499,RC,H
big,5,100,0.001116632,RC,H
both,5,100,0.001488063,EX,H
bowl,5,100,0.001153889,EX,L
break,5,100,0.002340996,EX,H
broad,5,100,0.005105645,EX,L
broke,5,100,0.001293244,RC,L
bus,5,100,0.001194453,RC,L
bush,5,100,0.002754136,EX,L
came,5,100,0.001183288,RC,H
choose,5,100,0.01433035,EX,H
class,5,100,0.004222044,RC,H
come,5,100,0.001660389,EX,H
dark,5,100,0.001479786,RC,H
deaf,5,100,0.002097352,EX,L
deed,5,100,0.001173992,RC,L
did,5,100,0.001178998,RC,H
do,5,100,0.002854703,EX,H
does,5,100,0.001760358,EX,H
doll,5,100,0.001921164,EX,L
done,5,100,0.01963087,EX,H
dots,5,100,0.004611355,RC,L
fact,5,100,0.00173387,RC,H
fade,5,100,0.002179942,RC,L
float,5,100,0.001238439,RC,L
flood,5,100,0.001557012,EX,L
foot,5,100,0.001882683,EX,H
give,5,100,0.001709688,EX,H
got,5,100,0.001269797,RC,H
grape,5,100,0.001418407,RC,L
great,5,100,0.001854186,EX,H
gross,5,100,0.002776221,EX,L
group,5,100,0.005327907,RC,H
have,5,100,0.001617639,EX,H
him,5,100,0.001110061,RC,H
lose,5,100,0.003976754,EX,L
lunch,5,100,0.001326649,RC,L
main,5,100,0.001087173,RC,H
move,5,100,0.008079543,EX,H
out,5,100,0.2549002,RC,H
page,5,100,0.001114873,RC,H
pear,5,100,0.007127746,EX,L
peel,5,100,0.001175834,RC,L
phase,5,100,0.001651048,EX,L
pint,5,100,0.001870624,EX,L
pitch,5,100,0.01196203,RC,L
place,5,100,0.0013005,RC,H
plow,5,100,0.004480557,EX,L
pull,5,100,0.002477357,EX,H
pump,5,100,0.001424173,RC,L
put,5,100,0.001274212,EX,H
ripe,5,100,0.001241961,RC,L
rouse,5,100,0.009087427,EX,L
said,5,100,0.001613738,EX,H
sank,5,100,0.001649088,RC,L
says,5,100,0.003056882,EX,H
see,5,100,0.001646724,RC,H
sew,5,100,0.0354641,EX,L
shall,5,100,0.001640686,EX,H
shoe,5,100,0.04517447,EX,L
slam,5,100,0.001189167,RC,L
slip,5,100,0.003425775,RC,L
soon,5,100,0.005144205,RC,H
spook,5,100,0.002083639,EX,L
stop,5,100,0.001569162,RC,H
stunt,5,100,0.001710992,RC,L
swamp,5,100,0.001648552,EX,L
swarm,5,100,0.07203834,EX,L
swore,5,100,0.003001042,RC,L
tell,5,100,0.001135096,RC,H
touch,5,100,0.009238754,EX,L
trunk,5,100,0.001602009,RC,L
wad,5,100,0.001205274,EX,L
wake,5,100,0.001102618,RC,L
wand,5,100,0.002071912,EX,L
want,5,100,0.002010252,EX,H
wash,5,100,0.002965271,EX,L
watch,5,100,0.002257388,EX,H
wax,5,100,0.002635628,RC,L
week,5,100,0.001118652,RC,H
weld,5,100,0.00162071,RC,L
were,5,100,0.001731071,EX,H
what,5,100,0.001457801,EX,H
when,5,100,0.001872982,RC,H
which,5,100,0.001254795,RC,H
will,5,100,0.001430015,RC,H
wing,5,100,0.01640792,RC,L
wit,5,100,0.001071188,RC,L
with,5,100,0.00144997,RC,H
wool,5,100,0.009088257,EX,L
word,5,100,0.001416155,EX,H
work,5,100,0.001488084,EX,H
worm,5,100,0.01164066,EX,L
write,5,100,0.001057199,RC,H
are,6,100,0.01604065,EX,H
beam,6,100,0.002356074,RC,L
best,6,100,0.002922238,RC,H
big,6,100,0.001376759,RC,H
both,6,100,0.008965212,EX,H
bowl,6,100,0.1552374,EX,L
break,6,100,0.01177216,EX,H
broad,6,100,0.001726364,EX,L
broke,6,100,0.002547778,RC,L
bus,6,100,0.0111666,RC,L
bush,6,100,0.0205933,EX,L
came,6,100,0.00353937,RC,H
choose,6,100,0.01393485,EX,H
class,6,100,0.001980379,RC,H
come,6,100,0.008686742,EX,H
dark,6,100,0.001690913,RC,H
deaf,6,100,0.02075714,EX,L
deed,6,100,0.001497913,RC,L
did,6,100,0.001397183,RC,H
do,6,100,0.00254705,EX,H
does,6,100,0.005967387,EX,H
doll,6,100,0.003064869,EX,L
done,6,100,0.004730768,EX,H
dots,6,100,0.185871,RC,L
fact,6,100,0.00226773,RC,H
fade,6,100,0.003486056,RC,L
float,6,100,0.001770194,RC,L
flood,6,0,8.518255,EX,L
foot,6,100,0.008992793,EX,H
give,6,100,0.02016637,EX,H
got,6,100,0.009512794,RC,H
grape,6,100,0.00285351,RC,L
great,6,100,0.0634832,EX,H
gross,6,100,0.002336273,EX,L
group,6,100,0.005363289,RC,H
have,6,100,0.01839211,EX,H
him,6,100,0.001749668,RC,H
lose,6,100,0.01427454,EX,L
lunch,6,100,0.00158842,RC,L
main,6,100,0.001444048,RC,H
move,6,100,0.02855373,EX,H
out,6,100,0.004503756,RC,H
page,6,100,0.01056427,RC,H
pear,6,100,1.255984,EX,L
peel,6,100,0.002180483,RC,L
phase,6,100,0.007430639,EX,L
pint,6,100,0.004055071,EX,L
pitch,6,100,0.005128806,RC,L
place,6,100,0.002492921,RC,H
plow,6,100,0.00214408,EX,L
pull,6,100,0.0020432,EX,H
pump,6,100,0.001920791,RC,L
put,6,100,0.009496831,EX,H
ripe,6,100,0.005715775,RC,L
rouse,6,100,0.02069921,EX,L
said,6,100,0.00817217,EX,H
sank,6,100,0.002328032,RC,L
says,6,0,6.395986,EX,H
see,6,100,0.003701255,RC,H
sew,6,100,0.5231248,EX,L
shall,6,100,0.01069151,EX,H
shoe,6,100,0.2050626,EX,L
slam,6,100,0.002668086,RC,L
slip,6,100,0.006221214,RC,L
soon,6,100,0.001890393,RC,H
spook,6,100,0.02191147,EX,L
stop,6,100,0.001819808,RC,H
stunt,6,100,0.005185823,RC,L
swamp,6,100,0.03375643,EX,L
swarm,6,100,0.01451714,EX,L
swore,6,100,0.002418924,RC,L
tell,6,100,0.001763159,RC,H
touch,6,100,0.004012733,EX,L
trunk,6,100,0.005718728,RC,L
wad,6,100,0.007998125,EX,L
wake,6,100,0.004189763,RC,L
wand,6,100,0.007625858,EX,L
want,6,100,0.002966191,EX,H
wash,6,100,0.1159076,EX,L
watch,6,100,0.004825146,EX,H
wax,6,100,0.005609503,RC,L
week,6,100,0.001543916,RC,H
weld,6,100,0.003032119,RC,L
were,6,100,0.001931374,EX,H
what,6,100,0.002147036,EX,H
when,6,100,0.003128856,RC,H
which,6,100,0.002035641,RC,H
will,6,100,0.00397544,RC,H
wing,6,100,0.00512077,RC,L
wit,6,100,0.03044245,RC,L
with,6,100,0.003138283,RC,H
wool,6,100,0.02363769,EX,L
word,6,100,0.003569251,EX,H
work,6,100,0.002241378,EX,H
worm,6,100,0.00883491,EX,L
write,6,100,0.001320671,RC,H
are,7,100,0.001018905,EX,H
beam,7,100,0.001096347,RC,L
best,7,100,0.001256539,RC,H
big,7,100,0.001051036,RC,H
both,7,100,0.001391248,EX,H
bowl,7,100,0.002121991,EX,L
break,7,0,12.16629,EX,H
broad,7,100,0.001654998,EX,L
broke,7,100,0.001226842,RC,L
bus,7,100,0.001095199,RC,L
bush,7,100,0.001389168,EX,L
came,7,100,0.001071624,RC,H
