nonword,version,correct,cee
mune,9,100,0.0623
nust,9,100,0.0098
peet,9,100,0.001
pilt,9,100,0.0016
plore,9,100,0.0013
pode,9,100,0.0011
pold,9,100,0.0013
prain,9,100,0.0013
sheed,9,100,0.0013
soad,9,100,0.0011
speet,9,100,0.0011
steet,9,100,0.0013
suff,9,100,0.0011
sust,9,100,0.0016
sweal,9,100,0.0202
taze,9,100,0.0012
weat,9,100,0.0033
wosh,9,100,0.0742
wote,9,100,1.7561
wuff,9,100,0.0011
beed,10,100,0.0012
beld,10,100,0.0021
bink,10,100,0.0012
bleam,10,100,0.0059
bort,10,100,0.0012
brobe,10,100,2.8625
cath,10,0,18.049
cobe,10,100,0.165
dold,10,100,0.0281
doon,10,100,0.4892
dore,10,100,0.0011
dreed,10,100,0.0019
feal,10,100,0.0012
gode,10,100,0.0278
grool,10,100,0.0082
hean,10,100,0.0062
heef,10,0,14.9885
hode,10,100,0.001
hoil,10,0,4.241
lail,10,100,0.039
lole,10,100,0.0012
meak,10,100,0.0161
moop,10,100,0.0176
mune,10,100,0.0034
nust,10,100,0.0017
peet,10,100,0.0042
pilt,10,100,0.0016
plore,10,0,2.5483
pode,10,100,0.001
pold,10,100,0.0014
prain,10,100,0.002
sheed,10,100,0.0017
soad,10,100,0.001
speet,10,100,0.0013
steet,10,100,0.0013
suff,10,100,0.0023
sust,10,100,0.0016
sweal,10,100,7.0707
taze,10,100,0.1851
weat,10,100,6.9847
wosh,10,100,0.1612
wote,10,100,1.3093
wuff,10,100,0.0762
beed,11,100,0.0011
beld,11,100,0.0013
bink,11,100,0.003
bleam,11,100,0.0012
bort,11,100,0.0012
brobe,11,100,0.0017
cath,11,100,0.002
cobe,11,100,0.0272
dold,11,100,0.0109
doon,11,100,0.0011
dore,11,100,0.0012
dreed,11,100,0.0025
feal,11,100,0.0011
gode,11,100,0.0014
grool,11,100,0.0062
hean,11,100,0.0012
heef,11,100,0.0157
hode,11,100,0.0065
hoil,11,0,11.1149
lail,11,100,0.012
lole,11,0,9.3341
meak,11,100,0.0011
moop,11,100,0.0012
mune,11,0,17.8637
nust,11,100,0.6513
peet,11,100,0.0011
pilt,11,100,0.0013
plore,11,100,0.0014
pode,11,100,0.0012
pold,11,100,0.0021
prain,11,100,0.0014
sheed,11,100,0.0017
soad,11,100,0.0216
speet,11,100,0.0013
steet,11,100,0.0012
suff,11,100,0.0031
sust,11,100,0.0022
sweal,11,100,0.05
taze,11,100,0.0011
weat,11,100,0.0011
wosh,11,100,2.7268
wote,11,100,0.0017
wuff,11,0,14.4286
beed,12,100,0.0081
beld,12,100,0.0014
bink,12,100,0.0012
bleam,12,0,1.5951
bort,12,100,0.0032
brobe,12,100,0.0013
cath,12,100,0.0042
cobe,12,100,0.0012
dold,12,100,0.07
doon,12,100,0.0017
dore,12,100,0.0011
dreed,12,100,0.0014
feal,12,100,0.001
gode,12,100,0.0011
